2026-02-06T09:52:25.166893+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci ; USER=root ; COMMAND=/usr/bin/apt install git
2026-02-06T09:53:07.623807+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci ; USER=root ; COMMAND=/usr/bin/apt install git
2026-02-06T09:57:38.637416+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci ; USER=root ; COMMAND=/usr/bin/apt update
2026-02-06T09:57:52.914174+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci ; USER=root ; COMMAND=/usr/bin/apt upgrade
2026-02-06T10:18:47.721966+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install apache2
2026-02-06T10:44:17.938193+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install openssh-server
2026-02-06T10:46:11.506081+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/cat /var/log/apache2/error.log
2026-02-06T11:04:58.369959+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install openssh-server
2026-02-06T11:04:59.057877+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install apache2
2026-02-06T11:04:59.750271+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install curl
2026-02-06T11:07:29.263421+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install openssh-server
2026-02-06T11:07:29.942301+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install apache2
2026-02-06T11:07:30.626964+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install curl
2026-02-06T11:56:18.494343+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/apt install nmap
2026-02-06T11:56:27.609202+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost
2026-02-06T11:59:40.247465+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap -p 22 172.19.175.130/20
2026-02-06T12:00:12.791357+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost
2026-02-06T12:00:31.108611+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -o json
2026-02-06T12:01:10.386845+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oJ json
2026-02-06T12:01:18.553014+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oJ
2026-02-06T12:01:43.479396+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oJ portscan.json
2026-02-06T12:01:55.884459+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oJ
2026-02-06T12:19:28.299722+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci ; USER=root ; COMMAND=/usr/bin/apt install hydra
2026-02-06T12:34:41.465363+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oJ
2026-02-06T12:35:44.226524+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oJ portscan.json
2026-02-06T12:39:43.824726+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN portscan
2026-02-06T12:40:30.465877+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oN
2026-02-06T12:41:10.029765+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -o
2026-02-06T12:41:52.599149+01:00 Skipper sudo: leonardobonucci : TTY=pts/0 ; PWD=/home/leonardobonucci/PROGETTO-6-LOG-ANALYSIS-E-INCIDENT-RESPONSE ; USER=root ; COMMAND=/usr/bin/nmap localhost -oX
